template_name,template_string,ar,bg,de,el,es,fr,hi,ru,sw,th,tr,ur,vi,zh
trivia_qa - unfiltered - guess_question,"{e1} 
    Guess a question that has the answer ""{e2}"" 
    |||  
    {e3} 
{e4}","{e1}
    تخمين السؤال الذي يحتوي على إجابة ""{e2}""
    |||
    {e3}
{e4}","{E1}
    Предполагам, че въпросът има отговор ""{E2}""
    |||
    {E3}
{E4}","{E1}
    Erraten Sie eine Frage, die die Antwort hat ""{E2}""
    |||
    {E3}
{E4}","{e1}
    Μαντέψτε μια ερώτηση που έχει την απάντηση ""{e2}""
    |||
    {e3}
{e4}","{e1}
    Adivina una pregunta que tiene la respuesta ""{E2}""
    |||
    {E3}
{E4}","{e1}
    Devinez une question qui a la réponse ""{e2}""
    |||
    {e3}
{E4}","{e1}
    एक प्रश्न का अनुमान लगाएं जिसमें उत्तर ""{e2}"" है
    |||
    {e3}
{e4}","{E1}
    Угадай вопрос, который имеет ответ ""{e2}""
    |||
    {e3}
{e4}","{e1}
    Nadhani swali ambalo lina jibu ""{e2}""
    |||.
    {e3}
{e4}","{e1}
    เดาคำถามที่มีคำตอบ ""{e2}""
    |||
    {e3}
{e4}","{e1}
    ""{E2}"" cevabına sahip bir soru tahmin edin.
    |||
    {e3}
{e 4}","{E1}
    ایک سوال کا اندازہ کریں جس کا جواب ""{E2}""
    ||||
    {e3}
{e4}","{e1}
    Đoán một câu hỏi có câu trả lời ""{E2}""
    ||
    {e3}
{e 4}","{e1}
    猜猜一个有答案“{e2}”的问题
    ||||
    {E3}
{E4}"
trivia_qa - unfiltered - question_answer,"Question : {e1}
Answer : 
||| 
{e2} 
{e3}
{e4}","سؤال: {E1}
إجابه :
|||
{e2}
{e3}
{e4}","Въпрос: {E1}
Отговор :
|||
{E2}
{E3}
{E4}","Frage: {E1}
Antworten :
|||
{E2}
{E3}
{E4}","Ερώτηση: {E1}
Απάντηση:
|||
{e2}
{e3}
{e4}","Pregunta: {E1}
Responder :
|||
{E2}
{E3}
{E4}","Question: {E1}
Répondre :
|||
{e2}
{e3}
{E4}","प्रश्न: {e1}
जवाब :
|||
{e2}
{e3}
{e4}","Вопрос: {E1}
Отвечать :
|||
{e2}
{e3}
{e4}","Swali: {e1}
Jibu:
|||.
{e2}
{e3}
{e4}","คำถาม: {e1}
ตอบ :
|||
{e2}
{e3}
{e4}","Soru: {e1}
Cevap :
|||
{e2}
{e3}
{e 4}","سوال: {e1}
جواب:
||||
{e2}
{e3}
{e4}","Câu hỏi: {E1}
Trả lời :
||
{e2}
{e3}
{e 4}","问题：{E1}
回答 ：
||||
{E2}
{E3}
{E4}"
trivia_qa - unfiltered - question_with_instruction,"Answer the following question.
{e1} 
|||
{e2} 
{e3} 
{e4}","أجب على السؤال التالي.
{e1}
|||
{e2}
{e3}
{e4}","Отговорете на следния въпрос.
{E1}
|||
{E2}
{E3}
{E4}","Beantworte die folgende Frage.
{E1}
|||
{E2}
{E3}
{E4}","Απάντησε την ακόλουθη ερώτηση.
{e1}
|||
{e2}
{e3}
{e4}","Contesta la siguiente pregunta.
{e1}
|||
{E2}
{E3}
{E4}","Répondre à la question suivante.
{e1}
|||
{e2}
{e3}
{E4}","निम्नलिखित प्रश्न का उत्तर।
{e1}
|||
{e2}
{e3}
{e4}","Ответьте на следующий вопрос.
{E1}
|||
{e2}
{e3}
{e4}","Jibu swali lifuatalo.
{e1}
|||.
{e2}
{e3}
{e4}","ตอบคำถามต่อไปนี้.
{e1}
|||
{e2}
{e3}
{e4}","Aşağıdaki soruyu cevaplayın.
{e1}
|||
{e2}
{e3}
{e 4}","مندرجہ ذیل سوال کا جواب.
{E1}
||||
{e2}
{e3}
{e4}","Trả lời câu hỏi sau đây.
{e1}
||
{e2}
{e3}
{e 4}","回答以下问题。
{e1}
||||
{E2}
{E3}
{E4}"
web_questions - None - get_the_answer,Give me the correct facts to answer this: {e1} ||| {e2},أعطني الحقائق الصحيحة للإجابة على هذا: {e1} ||| {e2},"Дайте ми правилните факти, за да отговоря на това: {E1} ||| {E2}","Gib mir die richtigen Fakten, um dies zu beantworten: {E1} ||| {E2}",Δώστε μου τα σωστά γεγονότα για να απαντήσετε σε αυτό: {E1} ||| {e2},Dame los hechos correctos para responder esto: {E1} ||| {E2},Donnez-moi les faits corrects pour répondre à cela: {E1} ||| {e2},मुझे इसका उत्तर देने के लिए सही तथ्य दें: {E1} ||| {e2},"Дайте мне правильные факты, чтобы ответить на это: {E1} ||| {e2}",Nipe ukweli sahihi ili kujibu hili: {e1} || {e2},ให้ข้อเท็จจริงที่ถูกต้องเพื่อตอบคำถามนี้: {e1} ||| {e2},Bana bunu cevaplamak için doğru gerçekleri ver: {e1} ||| {e2},مجھے اس کا جواب دینے کے لئے صحیح حقائق دو: {E1} ||| {e2},Hãy cho tôi sự thật chính xác để trả lời điều này: {E1} ||| {e2},给我正确的事实来回答这个问题：{e1} |||| {E2}
web_questions - None - potential-correct-answer,"Give me a possible correct answer to the question ""{e1}"" ||| {e2}","أعطني إجابة صحيحة محتملة على السؤال ""{e1}"" ||| {e2}","Дайте ми възможно верен отговор на въпроса ""{E1}"" ||| {E2}","Gib mir eine mögliche richtige Antwort auf die Frage ""{E1}"" ||| {E2}","Δώστε μου μια πιθανή σωστή απάντηση στην ερώτηση ""{E1}"" ||| {e2}","Dame una posible respuesta correcta a la pregunta ""{e1}"" ||| {E2}","Donnez-moi une réponse correcte possible à la question ""{E1}"" ||| {e2}","मुझे ""{e1}"" ||| के लिए एक संभावित सही उत्तर दें {e2}",Дайте мне возможный правильный ответ на вопрос «{E1}» ||| {e2},"Nipe jibu sahihi kwa swali ""{e1}"" || {e2}","ให้คำตอบที่ถูกต้องกับฉันกับคำถาม ""{e1}"" ||| {e2}","Bana ""{E1}"" sorusuna olası bir doğru cevap verin ||| {e2}","مجھے ""{E1}"" || {E1} ""کے لئے ممکنہ درست جواب دیں {e2}","Cho tôi một câu trả lời đúng có thể cho câu hỏi ""{e1}"" ||| {e2}",给我一个问题的正确答案“{e1}”||| {E2}
web_questions - None - question-answer,{e1} ||| {e2},{e1} ||| {e2},{E1} ||| {E2},{E1} ||| {E2},{E1} ||| {e2},{e1} ||| {E2},{E1} ||| {e2},{e1} ||| {e2},{E1} ||| {e2},{e1} ||. | {e2},{e1} ||| {e2},{e1} ||| {e2},{E1} ||| {e2},{E1} ||| {e2},{e1} |||| {E2}
web_questions - None - short_general_knowledge_q,Short general knowledge question: {e1} ||| {e2},مسألة المعرفة العامة القصيرة: {E1} ||| {e2},Кратки общи знания Въпрос: {E1} ||| {E2},Kurzer allgemeiner Wissensfrage: {E1} ||| {E2},Σύντομη γενική ερώτηση γνώσης: {E1} ||| {e2},Pregunta general de conocimiento general: {E1} ||| {E2},Question de connaissances générales courtes: {E1} ||| {e2},लघु सामान्य ज्ञान प्रश्न: {E1} ||| {e2},Короткие Общие вопросы знания: {E1} ||| {e2},Swali la jumla la ujuzi: {e1} || {e2},คำถามความรู้ทั่วไปสั้น ๆ : {e1} ||| {e2},Kısa Genel Bilgi Soru: {E1} ||| {e2},مختصر جنرل علم سوال: {E1} ||| {e2},Câu hỏi kiến ​​thức chung ngắn: {E1} ||| {e2},缩短一般知识问题：{e1} ||| {E2}
web_questions - None - whats_the_answer,What's the answer to that question: {e1} ||| {e2},ما هو الحل على هذا السؤال: {e1} ||| {e2},Какъв е отговорът на този въпрос: {E1} ||| {E2},Was ist die Antwort auf diese Frage: {E1} ||| {E2},Ποια απάντηση στην ερώτηση αυτή: {E1} ||| {e2},¿Cuál es la respuesta a esa pregunta: {E1} ||| {E2},Quelle est la réponse à cette question: {E1} ||| {e2},उस प्रश्न का उत्तर क्या है: {e1} ||| {e2},Какой ответ на этот вопрос: {E1} ||| {e2},Nini jibu kwa swali hilo: {e1} || {e2},คำตอบสำหรับคำถามนั้นคืออะไร: {e1} ||| {e2},Bu sorunun cevabı nedir: {e1} ||| {e2},اس سوال کا جواب کیا ہے: {E1} |||| {e2},Câu trả lời cho câu hỏi đó là gì: {E1} ||| {e2},该问题的答案是什么：{e1} |||| {E2}
wiki_qa - None - Decide_good_answer,"This is a correct answer to the following question about {e1}. Yes or no?
Answer: {e2}
Question: {e3}
|||
{e4}","هذه إجابة صحيحة على السؤال التالي حول {e1}. نعم أو لا؟
الإجابة: {e2}
سؤال: {e3}
|||
{e4}","Това е правилен отговор на следния въпрос за {E1}. Да или не?
Отговор: {E2}
Въпрос: {E3}
|||
{E4}","Dies ist eine korrekte Antwort auf die folgende Frage zu {E1}. Ja oder nein?
Antwort: {E2}
Frage: {E3}
|||
{E4}","Αυτή είναι μια σωστή απάντηση στην ακόλουθη ερώτηση σχετικά με την {E1}. Ναι ή όχι?
Απάντηση: {E2}
Ερώτηση: {E3}
|||
{e4}","Esta es una respuesta correcta a la siguiente pregunta sobre {E1}. ¿Sí o no?
Respuesta: {E2}
Pregunta: {E3}
|||
{E4}","Ceci est une réponse correcte à la question suivante sur {E1}. Oui ou non?
Réponse: {E2}
Question: {E3}
|||
{E4}","यह {E1} के बारे में निम्नलिखित प्रश्न का सही उत्तर है। हां या नहीं?
उत्तर: {e2}
प्रश्न: {e3}
|||
{e4}","Это правильный ответ на следующий вопрос о {E1}. Да или нет?
Ответ: {E2}
Вопрос: {e3}
|||
{e4}","Hii ni jibu sahihi kwa swali linalofuata kuhusu {e1}. Ndio au hapana?
Jibu: {e2}
Swali: {e3}
|||.
{e4}","นี่เป็นคำตอบที่ถูกต้องสำหรับคำถามต่อไปนี้เกี่ยวกับ {e1} ใช่หรือไม่?
คำตอบ: {e2}
คำถาม: {e3}
|||
{e4}","Bu, {E1} hakkında aşağıdaki soruya doğru bir cevaptır. Evet veya Hayır?
Cevap: {e2}
Soru: {e3}
|||
{e 4}","یہ {E1} کے بارے میں مندرجہ ذیل سوال کا صحیح جواب ہے. ہاں یا نہیں؟
جواب: {e2}
سوال: {e3}
||||
{e4}","Đây là một câu trả lời đúng cho câu hỏi sau về {E1}. Có hay không?
Trả lời: {E2}
Câu hỏi: {E3}
||
{e 4}","这是关于{E1}以下问题的正确答案。是还是不是？
答：{E2}
问题：{E3}
||||
{E4}"
wiki_qa - None - Direct Answer to Question,"{e1}
Answer this question: {e2}?|||
{e3}
{e4}","{e1}
أجب عن هذا السؤال: {e2}؟ |||
{e3}
{e4}","{E1}
Отговор на този въпрос: {E2}? |||
{E3}
{E4}","{E1}
Beantworten Sie diese Frage: {E2} | |||
{E3}
{E4}","{e1}
Απαντήστε στην ερώτηση αυτή: {E2}? |||
{e3}
{e4}","{e1}
Responde a esta pregunta: {E2}? |||
{E3}
{E4}","{e1}
Répondez à cette question: {E2}? |||
{e3}
{E4}","{e1}
इस प्रश्न का उत्तर दें: {e2}? |||
{e3}
{e4}","{E1}
Ответьте на этот вопрос: {e2}? |||
{e3}
{e4}","{e1}
Jibu swali hili: {e2}? |. ||.
{e3}
{e4}","{e1}
ตอบคำถามนี้: {e2}? |||
{e3}
{e4}","{e1}
Bu soruyu cevapla: {e2}? |||
{e3}
{e 4}","{E1}
اس سوال کا جواب دیں: {e2}؟ |||
{e3}
{e4}","{e1}
Trả lời câu hỏi này: {E2}? |||
{e3}
{e 4}","{e1}
回答这个问题：{e2}？|||
{E3}
{E4}"
wiki_qa - None - Generate Question from Topic,"{e1}
Generate a question about the topic ""{e2}"" whose answer would be: {e3}.|||
{e4}?
{e5}
","{e1}
إنشاء سؤال حول الموضوع ""{e2}"" التي ستكون إجابتها: {e3}. |||
{e4}؟
{e5}
","{E1}
Генериране на въпрос за темата ""{E2}"", чийто отговор ще бъде: {E3}. |||
{E4}?
{E5}
","{E1}
Erzeugen Sie eine Frage zum Thema ""{E2}"", dessen Antwort wäre: {E3}. |||
{E4}?
{E5}
","{e1}
Δημιουργήστε μια ερώτηση σχετικά με το θέμα ""{e2}"" της οποίας η απάντηση θα ήταν: {e3}. |||
{E4};
{e5}
","{e1}
Generar una pregunta sobre el tema ""{E2}"" cuya respuesta sería: {E3}. |||
{E4}?
{E5}
","{e1}
Générer une question sur le sujet ""{e2}"" dont la réponse serait: {E3}. |||
{E4}?
{e5}
","{e1}
विषय ""{e2}"" के बारे में एक प्रश्न उत्पन्न करें जिसका उत्तर होगा: {e3}। |||
{e4}?
{e5}
","{E1}
Создайте вопрос о теме «{E2}», чья ответ будет: {E3}. |||
{e4}?
{e5}
","{e1}
Kuzalisha swali kuhusu mada ""{e2}"" ambayo jibu lake litakuwa: {e3}. ||
{e4}?
{e5}
","{e1}
สร้างคำถามเกี่ยวกับหัวข้อ ""{e2}"" ซึ่งคำตอบจะเป็น: {e3} |||
{e4}?
{e5}
","{e1}
Cevap olan ""{E2}"" konusu hakkında bir soru oluşturun: {e3}. |||
{e 4}?
{e5}
","{E1}
موضوع کے بارے میں ایک سوال پیدا کریں ""{E2}"" جس کا جواب ہوگا: {e3}. |||
{E4}؟
{e5}
","{e1}
Tạo một câu hỏi về chủ đề ""{E2}"" có câu trả lời của ai là: {E3}. |||
{e 4}?
{E5}
","{e1}
生成关于主题“{e2}”的问题，其答案是：{e3}。|||
{E4}？
{E5}
"
wiki_qa - None - Is This True?,"Question: {e1}?
Would ""{e2}"" be a reasonable answer? |||
{e3}","سؤال: {e1}؟
سيكون ""{e2}"" إجابة معقولة؟ |||
{e3}","Въпрос: {E1}?
Ще бъде ли ""{E2}"" да бъде разумен отговор? |||
{E3}","Frage: {E1}?
Würde ""{E2}"" eine vernünftige Antwort sein? |||
{E3}","Ερώτηση: {E1};
Θα είναι ""{e2}"" μια λογική απάντηση; |||
{e3}","Pregunta: {E1}?
¿""{E2}"" sería una respuesta razonable? |||
{E3}","Question: {E1}?
""{E2}"" serait-il une réponse raisonnable? |||
{e3}","प्रश्न: {e1}?
क्या ""{e2}"" एक उचित उत्तर होगा? |||
{e3}","Вопрос: {E1}?
Будет «{E2}» быть разумным ответом? |||
{e3}","Swali: {e1}?
Je, ""{e2}"" kuwa jibu la busara? |||.
{e3}","คำถาม: {e1}?
""{e2}"" จะเป็นคำตอบที่สมเหตุสมผลหรือไม่ |||
{e3}","Soru: {e1}?
""{E2}"" makul bir cevap olur mu? |||
{e3}","سوال: {E1}؟
""{e2}"" ایک مناسب جواب ہو گا؟ ||||
{e3}","Câu hỏi: {E1}?
""{E2}"" sẽ là một câu trả lời hợp lý? ||
{e3}","问题：{E1}？
将是“{e2}”合理答案？ ||||
{E3}"
wiki_qa - None - Jeopardy style,"{e1}
What is the question to: ""{e2}""? The topic is {e3}.|||
""{e4}?""
{e5}
","{e1}
ما هو السؤال إلى: ""{e2}""؟ الموضوع هو {e3}. |||
""{e4}؟""
{e5}
","{E1}
Какъв е въпросът: ""{E2}""? Темата е {E3}. |||
""{e4}?""
{E5}
","{E1}
Was ist die Frage an: ""{E2}""? Das Thema ist {E3}. |||
""{E4}?""
{E5}
","{e1}
Ποια είναι η ερώτηση που: ""{E2}""; Το θέμα είναι {E3}. |||
""{E4};""
{e5}
","{e1}
¿Cuál es la pregunta a: ""{E2}""? El tema es {E3}. |||
""{E4}?""
{E5}
","{e1}
Quelle est la question à: ""{e2}""? Le sujet est {E3}. |||
""{e4}?""
{e5}
","{e1}
सवाल क्या है: ""{e2}""? विषय {e3} है। |||
""{e4}?""
{e5}
","{E1}
В чем вопрос: «{E2}»? Тема {e3}. |||
""{e4}?""
{e5}
","{e1}
Swali ni nini: ""{e2}""? Mada ni {e3}. ||. ||.
""{e4}?""
{e5}
","{e1}
คำถามคืออะไร: ""{e2}""? หัวข้อคือ {e3} |||
""{e4}?""
{e5}
","{e1}
Soru nedir: ""{e2}""? Konu {e3}. |||
""{e 4}?""
{e5}
","{E1}
سوال کیا ہے: ""{e2}""؟ موضوع {e3} ہے. |||
""{{e4}؟""
{e5}
","{e1}
Câu hỏi gì: ""{E2}""? Chủ đề là {E3}. |||
""{e 4}?""
{E5}
","{e1}
问题是什么：“{e2}”？主题是{e3}。|||
“{E4}？”
{E5}
"
wiki_qa - None - Topic Prediction - Answer Only,"{e1}
Determine the topic of the passage.
""{e2}""
Topic:|||
{e3}
{e4}
","{e1}
تحديد موضوع المقطع.
""{e2}""
الموضوع: |||
{e3}
{e4}
","{E1}
Определят темата за пасажа.
""{e2}""
Тема: |||
{E3}
{E4}
","{E1}
Bestimmen Sie das Thema der Passage.
""{E2}""
Thema: |||
{E3}
{E4}
","{e1}
Προσδιορίστε το θέμα του περάσματος.
""{e2}""
Θέμα: |||
{e3}
{e4}
","{e1}
Determinar el tema del pasaje.
""{E2}""
TEMA: |||
{E3}
{E4}
","{e1}
Déterminer le sujet du passage.
""{e2}""
Sujet: |||
{e3}
{E4}
","{e1}
मार्ग के विषय का निर्धारण करें।
""{e2}""
विषय: |||
{e3}
{e4}
","{E1}
Определить тему прохода.
""{e2}""
Тема: |||
{e3}
{e4}
","{e1}
Kuamua mada ya kifungu.
""{e2}""
Mada: |||.
{e3}
{e4}
","{e1}
กำหนดหัวข้อของข้อความ
""{e2}""
หัวข้อ: |||
{e3}
{e4}
","{e1}
Pasajın konusunu belirleyin.
""{e2}""
Konu: |||
{e3}
{e 4}
","{E1}
گزرنے کے موضوع کا تعین کریں.
""{e2}""
TOPIC: ||||
{e3}
{e4}
","{e1}
Xác định chủ đề của đoạn văn.
""{E2}""
Chủ đề: |||.
{e3}
{e 4}
","{e1}
确定段落的主题。
“{E2}”
主题：|||
{E3}
{E4}
"
wiki_qa - None - Topic Prediction - Question Only,"{e1}
Determine the topic of the question.
Question: ""{e2}?""
Topic: |||
{e3}
{e4}","{e1}
تحديد موضوع السؤال.
سؤال: ""{e2}؟""
الموضوع: |||
{e3}
{e4}","{E1}
Определят темата на въпроса.
Въпрос: ""{E2}?""
Тема: |||
{E3}
{E4}","{E1}
Bestimmen Sie das Thema der Frage.
Frage: ""{E2}?""
Thema: |||
{E3}
{E4}","{e1}
Καθορίστε το θέμα της ερώτησης.
Ερώτηση: ""{E2};""
Θέμα: |||
{e3}
{e4}","{e1}
Determinar el tema de la pregunta.
Pregunta: ""{E2}?""
TEMA: |||
{E3}
{E4}","{e1}
Déterminer le sujet de la question.
Question: ""{e2}?""
Sujet: |||
{e3}
{E4}","{e1}
प्रश्न का विषय निर्धारित करें।
प्रश्न: ""{e2}?""
विषय: |||
{e3}
{e4}","{E1}
Определите тему вопроса.
Вопрос: ""{e2}?""
Тема: |||
{e3}
{e4}","{e1}
Kuamua mada ya swali.
Swali: ""{e2}?""
Mada: |||.
{e3}
{e4}","{e1}
กำหนดหัวข้อของคำถาม
คำถาม: ""{e2}?""
หัวข้อ: |||
{e3}
{e4}","{e1}
Sorunun konusunu belirleyin.
Soru: ""{e2}?""
Konu: |||
{e3}
{e 4}","{E1}
سوال کے موضوع کا تعین کریں.
سوال: ""{e2}؟""
TOPIC: ||||
{e3}
{e4}","{e1}
Xác định chủ đề của câu hỏi.
Câu hỏi: ""{E2}?""
Chủ đề: |||.
{e3}
{e 4}","{e1}
确定问题的主题。
问题：“{E2}？”
主题：|||
{E3}
{E4}"
wiki_qa - None - Topic Prediction - Question and Answer Pair,"{e1}
Determine the topic of the question-answer pair.
Question: ""{e2}?"";  Answer: ""{e3}""? Topic: |||
{e4}
{e5}
","{e1}
تحديد موضوع زوج الإجابة السؤال.
سؤال: ""{e2}؟""؛ الإجابة: ""{e3}""؟ الموضوع: |||
{e4}
{e5}
","{E1}
Определете темата на двойката отговор на въпроса.
Въпрос: ""{E2}?""; Отговор: ""{E3}""? Тема: |||
{E4}
{E5}
","{E1}
Bestimmen Sie das Thema des Fragenangriffspaares.
Frage: ""{E2}?""; Antwort: ""{E3}""? Thema: |||
{E4}
{E5}
","{e1}
Προσδιορίστε το θέμα του ζεύγους ερωτημάτων-απαντήσεων.
Ερώτηση: ""{E2};""; Απάντηση: ""{E3}""; Θέμα: |||
{e4}
{e5}
","{e1}
Determine el tema del par de preguntas:
Pregunta: ""{E2}?""; Respuesta: ""{E3}""? TEMA: |||
{E4}
{E5}
","{e1}
Déterminez le sujet de la paire de questions-réponses.
Question: ""{e2}?""; Réponse: ""{E3}""? Sujet: |||
{E4}
{e5}
","{e1}
प्रश्न-उत्तर जोड़ी का विषय निर्धारित करें।
प्रश्न: ""{e2}?""; उत्तर: ""{e3}""? विषय: |||
{e4}
{e5}
","{E1}
Определите тему пары вопроса-ответ.
Вопрос: «{E2}?»; Ответ: ""{e3}""? Тема: |||
{e4}
{e5}
","{e1}
Tambua mada ya jozi ya kujibu swali.
Swali: ""{e2}?""; Jibu: ""{e3}""? Mada: |||.
{e4}
{e5}
","{e1}
กำหนดหัวข้อของคู่คำถามตอบคำถาม
คำถาม: ""{e2}?""; คำตอบ: ""{e3}""? หัวข้อ: |||
{e4}
{e5}
","{e1}
Soru-cevap çifti konusunu belirleyin.
Soru: ""{e2}?""; Cevap: ""{e3}""? Konu: |||
{e 4}
{e5}
","{E1}
سوال جواب جوڑی کے موضوع کا تعین کریں.
سوال: ""{e2}؟""؛ جواب: ""{e3}""؟ TOPIC: ||||
{e4}
{e5}
","{e1}
Xác định chủ đề của cặp câu hỏi câu hỏi.
Câu hỏi: ""{E2}?""; Trả lời: ""{E3}""? Chủ đề: |||.
{e 4}
{E5}
","{e1}
确定问题答案对的主题。
问题：“{E2}？”;答案：“{e3}”？主题：|||
{E4}
{E5}
"
wiki_qa - None - automatic_system,"I am verifying the answers generated by an automatic system to the following question: {e1}
Suggested answer: {e2}
Should I validate this answer?
|||
{e3}","أنا التحقق من الإجابات الناتجة عن النظام التلقائي والسؤال التالي: {e1}
الإجابة المقترحة: {e2}
هل يجب علي التحقق من صحة هذه الإجابة؟
|||
{e3}","Проверявам отговорите, генерирани от автоматична система на следния въпрос: {E1}
Предложен отговор: {E2}
Трябва ли да потвърдя този отговор?
|||
{E3}","Ich überprüfe die Antworten, die von einem automatischen System auf folgende Frage generiert werden: {E1}
Empfohlene Antwort: {E2}
Sollte ich diese Antwort überprüfen?
|||
{E3}","Επαληθεύω τις απαντήσεις που δημιουργούνται από ένα αυτόματο σύστημα στην ακόλουθη ερώτηση: {E1}
Προτεινόμενη απάντηση: {E2}
Πρέπει να επικυρώσω αυτή την απάντηση;
|||
{e3}","Estoy verificando las respuestas generadas por un sistema automático a la siguiente pregunta: {E1}
Respuesta sugerida: {E2}
¿Debo validar esta respuesta?
|||
{E3}","Je vérifie les réponses générées par un système automatique à la question suivante: {E1}
Réponse suggérée: {E2}
Devrais-je valider cette réponse?
|||
{e3}","मैं निम्नलिखित प्रश्नों के लिए एक स्वचालित प्रणाली द्वारा उत्पन्न उत्तरों को सत्यापित कर रहा हूं: {E1}
सुझाए गए उत्तर: {e2}
क्या मुझे इस उत्तर को मान्य करना चाहिए?
|||
{e3}","Я проверяю ответы, созданные автоматической системой к следующему вопросу: {E1}
Предложенный ответ: {e2}
Должен ли я проверить этот ответ?
|||
{e3}","Ninahakikishia majibu yanayotokana na mfumo wa moja kwa moja swali linalofuata: {e1}
Jibu lililopendekezwa: {e2}
Lazima nihakikishe jibu hili?
|||.
{e3}","ฉันกำลังตรวจสอบคำตอบที่สร้างขึ้นโดยระบบอัตโนมัติเป็นคำถามต่อไปนี้: {e1}
คำตอบที่แนะนำ: {e2}
ฉันควรตรวจสอบคำตอบนี้หรือไม่?
|||
{e3}","Otomatik bir sistem tarafından oluşturulan cevapları aşağıdaki soruya doğrulamıyorum: {e1}
Önerilen Cevap: {e2}
Bu cevabı doğrulamalı mıyım?
|||
{e3}","میں مندرجہ ذیل سوال پر ایک خودکار نظام کی طرف سے پیدا کردہ جوابات کی توثیق کر رہا ہوں: {E1}
تجویز کردہ جواب: {e2}
کیا میں اس جواب کو درست کروں؟
||||
{e3}","Tôi đang xác minh các câu trả lời được tạo bởi một hệ thống tự động cho câu hỏi sau: {E1}
Câu trả lời được đề xuất: {E2}
Tôi có nên xác thực câu trả lời này?
||
{e3}","我正在验证自动系统生成的答案到以下问题：{E1}
建议答案：{E2}
我应该验证这个答案吗？
||||
{E3}"
wiki_qa - None - exercise,"The exercise is to decide whether the question accepts the proposed suggestion as a correct answer. If yes, write ""{e1}"", otherwise write ""{e2}"".
Question: {e3}
Suggestion: {e4}
|||
{e5}","التمرين هو أن تقرر ما إذا كان السؤال يقبل الاقتراح المقترح كإجابة صحيحة. إذا كانت الإجابة بنعم، اكتب ""{e1}""، وإلا كتابة ""{e2}"".
سؤال: {e3}
اقتراح: {E4}
|||
{e5}","Упражнението е да се реши дали въпросът приема предложеното предложение като правилен отговор. Ако да, напишете ""{E1}"", в противен случай напишете ""{E2}"".
Въпрос: {E3}
Предложение: {E4}
|||
{E5}","Die Übung besteht darin, zu entscheiden, ob die Frage den vorgeschlagenen Vorschlag als richtige Antwort akzeptiert. Wenn ja, schreiben Sie ""{E1}"", sonst schreiben Sie ""{E2}"".
Frage: {E3}
Vorschlag: {E4}
|||
{E5}","Η άσκηση είναι να αποφασίσει αν το ερώτημα αποδέχεται την προτεινόμενη πρόταση ως σωστή απάντηση. Εάν ναι, γράψτε ""{e1}"", διαφορετικά γράψτε ""{e2}"".
Ερώτηση: {E3}
Πρόταση: {E4}
|||
{e5}","El ejercicio es decidir si la pregunta acepta la sugerencia propuesta como una respuesta correcta. Si es así, escriba ""{E1}"", de lo contrario escriba ""{E2}"".
Pregunta: {E3}
Sugerencia: {E4}
|||
{E5}","L'exercice est de décider si la question accepte la suggestion proposée comme une réponse correcte. Si oui, écrivez ""{E1}"", sinon écrivez ""{E2}"".
Question: {E3}
Suggestion: {E4}
|||
{e5}","अभ्यास यह तय करना है कि प्रश्न प्रस्तावित सुझाव को सही उत्तर के रूप में स्वीकार करता है या नहीं। यदि हां, ""{e1}"" लिखें, अन्यथा ""{e2}"" लिखें।
प्रश्न: {e3}
सुझाव: {e4}
|||
{e5}","Упражнения состоит в том, чтобы решить, принимает ли вопрос о предлагаемом предложении в качестве правильного ответа. Если да, напишите «{E1}», иначе напишите «{E2}».
Вопрос: {e3}
Предложение: {E4}
|||
{e5}","Zoezi hilo ni kuamua kama swali linakubali maoni yaliyopendekezwa kama jibu sahihi. Ikiwa ndio, andika ""{e1}"", vinginevyo uandike ""{e2}"".
Swali: {e3}
Ushauri: {e4}
|||.
{e5}","แบบฝึกหัดคือการตัดสินใจว่าคำถามจะยอมรับข้อเสนอแนะที่เสนอเป็นคำตอบที่ถูกต้องหรือไม่ ถ้าใช่ให้เขียน ""{e1}"" มิฉะนั้นเขียน ""{e2}""
คำถาม: {e3}
ข้อเสนอแนะ: {e4}
|||
{e5}","Egzersiz, sorunun önerilen öneriyi doğru bir cevap olarak kabul edip etmediğine karar vermektir. Eğer evet ise, ""{e1}"" yazın, aksi takdirde ""{E2}"" yazın.
Soru: {e3}
Öneri: {e4}
|||
{e5}","ورزش یہ فیصلہ کرنا ہے کہ آیا سوال تجویز کردہ تجویز کو صحیح جواب کے طور پر قبول کرتا ہے. اگر ہاں، ""{E1}"" لکھیں، دوسری صورت میں ""{e2}"" لکھیں.
سوال: {e3}
مشورہ: {e4}
||||
{e5}","Bài tập là để quyết định xem câu hỏi có chấp nhận đề xuất đề xuất như một câu trả lời đúng không. Nếu có, hãy viết ""{E1}"", nếu không hãy viết ""{E2}"".
Câu hỏi: {E3}
Đề xuất: {E4}
||
{E5}","练习是决定问题是否接受拟议的建议作为正确答案。如果是，请写“{e1}”，否则写入“{e2}”。
问题：{E3}
建议：{E4}
||||
{E5}"
